TIPO;CLAVE;ESTADO;OBSERVACION;UNIDADES_X_BULTO;PRECIO_LISTA_UNITARIO;COSTO_UNITARIO;BULTOS_X_PALLET;KG_X_BULTO;DESCRIPCION;ACTUALIZADO;BASE_OPERACION_X_BULTO
SKU;ACE0001;;;20;#N/D;#N/D;#N/D;;AC.GIR. CAÑ. 20 X 0.5;;
SKU;ACE0002;;;12;#N/D;#N/D;#N/D;;AC.GIR. CAÑ.12X0.9LT;;
SKU;ACE0004;;;12;#N/D;#N/D;#N/D;;AC.GIR. CAÑ.12X1.5LT;;
SKU;ACE0005;;;6;#N/D;#N/D;#N/D;;ACEITE GIRASOL CAÑUELAS 06 X 3.0 LT;;
SKU;ACE0006;;;4;#N/D;#N/D;#N/D;;AC. GIR. CAÑ. 4X5LT;;
SKU;ACE0010;;;12;#N/D;#N/D;#N/D;;AC.GIR. CAÑ.12X0,9VP PV;;
SKU;ACE0015;;;12;#N/D;#N/D;#N/D;;AC.GIR. CAÑ.12X1,5VP PV;;
SKU;ACE0019;;;12;#N/D;#N/D;#N/D;;AC.GIR. FLORENCIA12X0.9;;
SKU;ACE0020;;;12;#N/D;#N/D;#N/D;;AC.GIR. FLORENCIA12X1.5;;
SKU;ACE0022;;;12;#N/D;#N/D;#N/D;;ACEITE GIRASOL DIA% 12 X 1.5 LT;;
SKU;ACE0028;;;12;#N/D;#N/D;#N/D;;ACEITE MAIZ DIA% 12 X 1.0 LT;;
SKU;ACE0063;;;12;#N/D;#N/D;#N/D;;Aceite de Maiz;;
SKU;ACE0073;;;6;#N/D;#N/D;#N/D;;ACEITE OLIVA CLAS. CAÑUELAS LATA 6 X 0.5 LT;;
SKU;ACE0074;;;20;#N/D;#N/D;#N/D;;ACEITE OLIVA CLAS. CAÑUELAS LATA 20 X 0.5 LT;;
SKU;ACE0075;;;6;#N/D;#N/D;#N/D;;AC. OLI. CLAS. CAÑ PET 6X0.5LT;;
SKU;ACE0076;;;20;#N/D;#N/D;#N/D;;ACEITE OLIVA CLAS. CAÑUELAS PET 20 X 0.5;;
SKU;ACE0077;;;6;#N/D;#N/D;#N/D;;ACEITE OLIVA INT. CAÑUELAS LATA 6 X 0.5 LT;;
SKU;ACE0078;;;6;#N/D;#N/D;#N/D;;AC. OLI. INT. CAÑ. PET 6X0.5;;
SKU;ACE0080;;;6;#N/D;#N/D;#N/D;;ACEITE OLIVA SUAVE CAÑUELAS PET 6 X 0.5;;
SKU;ACE0084;;;12;#N/D;#N/D;#N/D;;AC. MEZ GIR AO - OLIVA 12X1L;;
SKU;ACE0085;;;12;#N/D;#N/D;#N/D;;ACEITE MEZCLA GIRASOL AO - OLIVA 12 X 1.5 LT;;
SKU;ACE0086;;;12;#N/D;#N/D;#N/D;;AC. GIR. ALTO OLEICO CAÑ 12X1L;;
SKU;ACE0094;;;4;#N/D;#N/D;#N/D;;AC. GIR. AO CAÑUELAS 4X5L;;
SKU;ACE0119;;;12;#N/D;#N/D;#N/D;;ACEITE DE GIRASOL ALTO OLEICO;;
SKU;ACE0129;;;12;#N/D;#N/D;#N/D;;ROCIO VEGETAL OLI. EXT. VIRGEN;;
SKU;ACE0130;;;12;#N/D;#N/D;#N/D;;ROCIO VEGETAL GIR. ALTO OLEICO;;
SKU;ACE0133;;;12;#N/D;#N/D;#N/D;;AC. GIR. DIA% 12X0.9LT;;
SKU;ACE0137;;;12;#N/D;#N/D;#N/D;;ROCIO VEGETAL MAN C/HAR. 150GR;;
SKU;ACE0151;;;12;#N/D;#N/D;#N/D;;Aceite de Girasol Pureza;;
SKU;ACE0152;;;12;#N/D;#N/D;#N/D;;Aceite de Girasol Pureza;;
SKU;ACE0157;;;12;#N/D;#N/D;#N/D;;Aceite comestible Mezcla Soja - Girasol;;
SKU;ACE0158;;;12;#N/D;#N/D;#N/D;;AC COMEST MEZCLA FLORENCIA;;
SKU;ACE0160;;;12;#N/D;#N/D;#N/D;;ACEITE DE GIRASOL ALTO OLEICO;;
SKU;ACE0162;;;12;#N/D;#N/D;#N/D;;Aceite de Girasol Alto Omega9;;
SKU;ACE0163;;;12;#N/D;#N/D;#N/D;;Aceite de Girasol Alto Omega9;;
SKU;ACE0164;;;4;#N/D;#N/D;#N/D;;Aceite de Girasol pureza 5 LTS;;
SKU;ACE0166;;;12;#N/D;#N/D;#N/D;;Ac Com Mezcla Gir AO - Oliva  EV;;
SKU;ACE0167;;;6;#N/D;#N/D;#N/D;;Aceite de Girasol Pureza 3LTS;;
SKU;ACE0169;;;12;#N/D;#N/D;#N/D;;Aceite comestible Mezcla Soja - Girasol  SAN AGUSTIN;;
SKU;ACE0171;;;12;#N/D;#N/D;#N/D;;Aceite comestible Mezcla Soja - Girasol;;
SKU;ACE0172;;;12;#N/D;#N/D;#N/D;;Aceite comestible Mezcla Soja - Girasol;;
SKU;ADE0001;;;20;#N/D;#N/D;#N/D;;Mayonesa Cañuelas 20 x 125cc;;
SKU;ADE0002;;;12;#N/D;#N/D;#N/D;;"MAYONESA CAÑUELAS
 12 x 250CC";;
SKU;ADE0003;;;12;#N/D;#N/D;#N/D;;"MAYONESA CAÑUELAS
 12 x 500CC";;
SKU;ADE0004;;;4;#N/D;#N/D;#N/D;;MAYONESA CAÑUELAS  4 x 2900CC;;
SKU;AIF0001;;;12;#N/D;#N/D;#N/D;;PASTA BOX FILETO VASO 12X64GR;;
SKU;AIF0002;;;12;#N/D;#N/D;#N/D;;PASTA BOX BOLOGNESA VASO 12X64;;
SKU;AIF0003;;;12;#N/D;#N/D;#N/D;;PASTA BOX QUESOS VASO 12X64GR;;
SKU;AIF0004;;;12;#N/D;#N/D;#N/D;;PASTA BOX VERDE VASO 12X64GR;;
SKU;AIF0005;;;12;#N/D;#N/D;#N/D;;PASTA BOX ROSA VASO 12X64GR;;
SKU;AIF0006;;;12;#N/D;#N/D;#N/D;;ARROZ BOX PRIMAVERA VASO 12X85;;
SKU;AIF0007;;;12;#N/D;#N/D;#N/D;;ARROZ BOX QUESOS VASO 12X85;;
SKU;AIF0008;;;8;#N/D;#N/D;#N/D;;PASTA MC ROSA DOYPACK 8 X 200GR;;
SKU;AIF0009;;;8;#N/D;#N/D;#N/D;;PASTA MC BROCOLI DOYPACK 8 X 200GR;;
SKU;AIF0010;;;8;#N/D;#N/D;#N/D;;PASTA MC QUESO DOYPACK 8 X 200GR;;
SKU;AIF0011;;;8;#N/D;#N/D;#N/D;;PASTA MC FILETO DOYPACK 8 X 200GR;;
SKU;AIF0012;;;8;#N/D;#N/D;#N/D;;PASTA MC BOLOGNESA DOYPACK 8 X 200GR;;
SKU;AIF0013;;;8;#N/D;#N/D;#N/D;;ARROZ MC QUESOS DOYPACK 8 X 200GR;;
SKU;AIF0014;;;8;#N/D;#N/D;#N/D;;ARROZ MC PRIMAREVA DOYPACK 8 X 200GR;;
SKU;AIF0015;;;12;#N/D;#N/D;#N/D;;PASTA BOX CREMA DE VEGETALES;;
SKU;AIF0016;;;12;#N/D;#N/D;#N/D;;PASTA MC QUESO DOYPACK 12 X 85GR;;
SKU;AIF0017;;;12;#N/D;#N/D;#N/D;;PASTA MC FILETO DOYPACK 12 X 85GR;;
SKU;AIF0018;;;12;#N/D;#N/D;#N/D;;ARROZ MC QUESOS DOYPACK 12 X 85GR;;
SKU;AIF0020;;;12;#N/D;#N/D;#N/D;;PASTA BOX SALSA CURRY;;
SKU;AIF0021;;;12;#N/D;#N/D;#N/D;;PURE RECETA TRADICIONAL;;
SKU;AIF0022;;;12;#N/D;#N/D;#N/D;;PURE RECETA COMPLETA;;
SKU;AIF0023;;;12;#N/D;#N/D;#N/D;;PURE SABOR PANCETA;;
SKU;AIF0024;;;12;#N/D;#N/D;#N/D;;PURE CON CARNE;;
SKU;AIF0025;;;12;#N/D;#N/D;#N/D;;PURE BOX CON CARNE;;
