SKU;Descripción;SUMA DE DESCUENTOS;NETO PK;UNIDADES;PALL;PK;NETO SO;TN SO;CMG;PPP SO;ORIGEN: GENERADOR;SO;RET;Estado;Ejecutivo;Cliente;Factura;Tipo Doc;Documento;Provincia;Ciudad;AJUSTMAN;DTO MANI;FLETE;PRECIO BULTO;TOTAL SO;Descuentos;PRECIO LISTA;COSTO;CODRETENCION;SDSRP2;ORIGEN: CODRETENCION;ORIGEN: LIBERADO;ORIGEN: SDSRP2;ORIGEN: SDDCTO;ORIGEN: SDDOCO;ORIGEN: FECPED;ORIGEN: FACTURA;ORIGEN: FECFACTURA;ORIGEN: FECSOLICITADA;ORIGEN: Nº CLIENTE;ORIGEN: CLIENTE;ORIGEN: PLANTA;ORIGEN: VENDEDOR;ORIGEN: ITEM;ORIGEN: DESCRIPCION ITEM;ORIGEN: SDLTTR;ORIGEN: SDNXTR;ORIGEN: CANTIDAD;ORIGEN: SDUOM;ORIGEN: KG;ORIGEN: PALLET;ORIGEN: CODCANAL;ORIGEN: DESCRIPCIONCANAL;ORIGEN: CODSEGMENTO;ORIGEN: DESCRIPCIONSEGMENTO;ORIGEN: CODRAMO;ORIGEN: DESCRIPCIONRAMO;ORIGEN: CODTIPO;ORIGEN: DESCRIPCIONTIPO;ORIGEN: PRECIOUNIFC;ORIGEN: PRECIOBASE;ORIGEN: DTOCNL;ORIGEN: DTOCNLE;ORIGEN: DTOCNLZN;ORIGEN: DTOLNI;ORIGEN: DTOANUAC;ORIGEN: DTOANUFR;ORIGEN: DTOANUGA;ORIGEN: DTOANUPA;ORIGEN: DTOANUIN;ORIGEN: DTOFCLAC;ORIGEN: DTOFCLFR;ORIGEN: DTOFCLGA;ORIGEN: DTOFCLPA;ORIGEN: DTOADIAC;ORIGEN: DTOAD1AC;ORIGEN: DTOAD2AC;ORIGEN: DTOAD3AC;ORIGEN: DTOAD4AC;ORIGEN: DTOAD5AC;ORIGEN: DTOAD6AC;ORIGEN: DTOAD7AC;ORIGEN: DTOADIFR;ORIGEN: DTOAD1FR;ORIGEN: DTOAD2FR;ORIGEN: DTOAD3FR;ORIGEN: DTOAD4FR;ORIGEN: DTOAD5FR;ORIGEN: DTOAD6FR;ORIGEN: DTOAD7FR;ORIGEN: DTOADIGA;ORIGEN: DTOAD1GA;ORIGEN: DTOAD2GA;ORIGEN: DTOAD3GA;ORIGEN: DTOAD4GA;ORIGEN: DTOAD5GA;ORIGEN: DTOAD6GA;ORIGEN: DTOAD7GA;ORIGEN: DTOADIPA;ORIGEN: DTOAD1PA;ORIGEN: DTOAD2PA;ORIGEN: DTOAD3PA;ORIGEN: DTOAD4PA;ORIGEN: DTOAD5PA;ORIGEN: DTOAD6PA;ORIGEN: DTOAD7PA;ORIGEN: DTOAC4FR;ORIGEN: DTOVOLAC;ORIGEN: DTOVOLFR;ORIGEN: DTOVOLGA;ORIGEN: DTOVOLPA;ORIGEN: DTOANUPR;ORIGEN: DTOFCLPR;ORIGEN: DTOAD1PR;ORIGEN: DTOAD2PR;ORIGEN: DTOAD3PR;ORIGEN: DTOAD4PR;ORIGEN: DTOAD5PR;ORIGEN: DTOAD6PR;ORIGEN: DTOAD7PR;ORIGEN: DTOPRM;ORIGEN: DTOLOG;ORIGEN: DTOPUN;ORIGEN: RECLOG;ORIGEN: DTOMAN;ORIGEN: DTOMANI;ORIGEN: FLETEZL;ORIGEN: FLETEZC;ORIGEN: DDONAC;ORIGEN: DMGRATIS;ORIGEN: VOLUME;ORIGEN: DTOCNL1;ORIGEN: DTOLOG1;ORIGEN: DTOPRM1;ORIGEN: DTOPUN1;ORIGEN: DTOANUCG;ORIGEN: DTOFCLCG;ORIGEN: DTOAD1CG;ORIGEN: DTOAD2CG;ORIGEN: DTOAD3CG;ORIGEN: DTOAD4CG;ORIGEN: DTOAD5CG;ORIGEN: DTOAD6CG;ORIGEN: DTOAD7CG;ORIGEN: DTOAD8CG;ORIGEN: IBSRP1;ORIGEN: FLETEZN;ORIGEN: DTOANUAR;ORIGEN: DTOANUED;ORIGEN: DTOFCLAR;ORIGEN: DTOFCLED;ORIGEN: DTOADIAR;ORIGEN: DTOAD1AR;ORIGEN: DTOAD2AR;ORIGEN: DTOAD3AR;ORIGEN: DTOAD4AR;ORIGEN: DTOAD5AR;ORIGEN: DTOAD6AR;ORIGEN: DTOAD7AR;ORIGEN: DTOADIED;ORIGEN: DTOAD1ED;ORIGEN: DTOAD2ED;ORIGEN: DTOAD3ED;ORIGEN: DTOAD4ED;ORIGEN: DTOAD5ED;ORIGEN: DTOAD6ED;ORIGEN: DTOAD7ED;ORIGEN: DTOVOLAR;ORIGEN: DTOVOLED
PRE0238;REB FREIR MC BOLSON 12 X 500G;-10%;842;120;0,08;10;100.984;0,06;92,9%;842;BUE;5984008;03;RETENIDA;O96;EXXA S.A.;;SO;5984008;;;-10%;0%;0%;11.220;112.205;-11.220;858;436;03;007;03;;007;SO;5984008;31/08/2026;;-0.33333333333333337;31/08/2026;1.5034194E7;EXXA S.A.;SPEVVS14;O96;PRE0238;REB FREIR MC BOLSON 12 X 500G;520;540;10.0;PK;60.0;0.0833;C05;Distribución Alimentos;S16;Distribuidores Regionales;R19;Distribuidores Regionales;T21;Claves;10098.4337;21603.608;-10383.1261;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1122.0482;0.0;;;;;;;;;;;;;;;;;;;;01;;;;;;;;;;;;;;;;;;;;;;;
SUBTOTAL SO 5984008;RET 03 | RETENIDA | O96 | EXXA S.A.;-10%;;120;0,08;10;100.984;0,06;92,9%;842;;;;;;;;;;;;;;;;112.205;-11.220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRE0131;PAN RALLADO MAMA COCINA 5KG;-52,8%;4.848;100;0,83;100;484.800;0,5;10,6%;4.848;ERRAMOUNDE;5983988;03;RETENIDA;M23;MAYORISTANET.COM SA;;SO;5983988;;;-52,8%;0%;0%;10.277;1.027.729;-542.929;8.888;4.385;03;007;03;;007;SO;5983988;31/08/2026;;-0.33333333333333337;03/09/2026;1.0056138E7;MAYORISTANET.COM SA;TPIVMO02;M23;PRE0131;PAN RALLADO MAMA COCINA 5KG;520;540;100.0;PK;500.0;0.8333;C05;Distribución Alimentos;S14;Mayoristas Regionales;R17;Mayoristas Regionales;;;4848.0;16294.794;-6017.5045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-5429.2895;0.0;;;;;;;;;;;;;;;;;;;;01;;;;;;;;;;;;;;;;;;;;;;;
SUBTOTAL SO 5983988;RET 03 | RETENIDA | M23 | MAYORISTANET.COM SA;-52,8%;;100;0,83;100;484.800;0,5;10,6%;4.848;;;;;;;;;;;;;;;;1.027.729;-542.929;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRE0208;PRE. BIZ VAINILLA MC 12X540G;-15%;1.596;60;0,05;5;95.766;0,03;SIN REF;1.596;FIATD;5983875;03;RETENIDA;O38;TUICHA S. A.;;SO;5983875;;;-15%;0%;0%;22.533;112.666;-16.900;SIN REF;SIN REF;03;059;03;;059;SO;5983875;31/08/2026;;-0.33333333333333337;31/08/2026;4.6962621E7;TUICHA S. A.;SPEVVS14;O38;PRE0208;PRE. BIZ VAINILLA MC 12X540G;520;540;5.0;PK;32.4;0.05;C05;Distribución Alimentos;S14;Mayoristas Regionales;R17;Mayoristas Regionales;;;19153.236;30670.79;-8137.574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3379.98;0.0;;;;;;;;;;;;;;;;;;;;01;;;;;;;;;;;;;;;;;;;;;;;
PRE0207;PRE. BIZ LIMON VIT D MC;-15%;1.596;60;0,05;5;95.766;0,03;SIN REF;1.596;FIATD;5983875;03;RETENIDA;O38;TUICHA S. A.;;SO;5983875;;;-15%;0%;0%;22.533;112.666;-16.900;SIN REF;SIN REF;03;059;03;;059;SO;5983875;31/08/2026;;-0.33333333333333337;31/08/2026;4.6962621E7;TUICHA S. A.;SPEVVS14;O38;PRE0207;PRE. BIZ LIMON VIT D MC;520;540;5.0;PK;32.4;0.05;C05;Distribución Alimentos;S14;Mayoristas Regionales;R17;Mayoristas Regionales;;;19153.236;30670.79;-8137.574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3379.98;0.0;;;;;;;;;;;;;;;;;;;;01;;;;;;;;;;;;;;;;;;;;;;;
PRE0206;PRE. BIZ CHOCOLATE VIT D MC;-15%;1.953;24;0,02;2;46.878;0,01;SIN REF;1.953;FIATD;5983875;03;RETENIDA;O38;TUICHA S. A.;;SO;5983875;;;-15%;0%;0%;27.575;55.150;-8.273;SIN REF;SIN REF;03;059;03;;059;SO;5983875;31/08/2026;;-0.33333333333333337;31/08/2026;4.6962621E7;TUICHA S. A.;SPEVVS14;O38;PRE0206;PRE. BIZ CHOCOLATE VIT D MC;520;540;2.0;PK;12.96;0.02;C05;Distribución Alimentos;S14;Mayoristas Regionales;R17;Mayoristas Regionales;;;23438.7837;37528.81;-9953.7663;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-4136.26;0.0;;;;;;;;;;;;;;;;;;;;01;;;;;;;;;;;;;;;;;;;;;;;
PRE0247;PRE. BIZ NARANJA VIT D MC;-15%;1.596;36;0,03;3;57.460;0,02;SIN REF;1.596;FIATD;5983875;03;RETENIDA;O38;TUICHA S. A.;;SO;5983875;;;-15%;0%;0%;22.533;67.599;-10.140;SIN REF;SIN REF;03;059;03;;059;SO;5983875;31/08/2026;;-0.33333333333333337;31/08/2026;4.6962621E7;TUICHA S. A.;SPEVVS14;O38;PRE0247;PRE. BIZ NARANJA VIT D MC;520;540;3.0;PK;19.44;0.03;C05;Distribución Alimentos;S14;Mayoristas Regionales;R17;Mayoristas Regionales;;;19153.1767;33904.84;-11371.6833;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3379.98;0.0;;;;;;;;;;;;;;;;;;;;01;;;;;;;;;;;;;;;;;;;;;;;
PRE0317;PREM. BROWNIES LDG MC 14X400G;-15%;2.544;42;0,03;3;106.865;0,02;SIN REF;2.544;FIATD;5983875;03;RETENIDA;O38;TUICHA S. A.;;SO;5983875;;;-15%;0%;0%;41.908;125.723;-18.858;SIN REF;SIN REF;03;059;03;;059;SO;5983875;31/08/2026;;-0.33333333333333337;31/08/2026;4.6962621E7;TUICHA S. A.;SPEVVS14;O38;PRE0317;PREM. BROWNIES LDG MC 14X400G;520;540;3.0;PK;16.8;0.03;C05;Distribución Alimentos;S14;Mayoristas Regionales;R17;Mayoristas Regionales;;;35621.606;57042.2034;-15134.4374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-6286.16;0.0;;;;;;;;;;;;;;;;;;;;01;;;;;;;;;;;;;;;;;;;;;;;
PRE0278;AVENA INSTANTANEA CAN 12X400 G;-10%;1.151;60;0,05;5;69.033;0,02;SIN REF;1.151;FIATD;5983875;03;RETENIDA;O38;TUICHA S. A.;;SO;5983875;;;-10%;0%;0%;15.341;76.704;-7.670;SIN REF;SIN REF;03;010;03;;010;SO;5983875;31/08/2026;;-0.33333333333333337;31/08/2026;4.6962621E7;TUICHA S. A.;SPEVVS14;O38;PRE0278;AVENA INSTANTANEA CAN 12X400 G;520;540;5.0;PK;24.0;0.05;C05;Distribución Alimentos;S14;Mayoristas Regionales;R17;Mayoristas Regionales;;;13806.6471;24382.08;-9041.3629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1534.07;0.0;;;;;;;;;;;;;;;;;;;;01;;;;;;;;;;;;;;;;;;;;;;;
